Codigo PAIS|Nombre PAIS|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
AR|ARGENTINA|0026200262|F-VILLA CELINA-ESCUELA PRIMARIA NÂº139 "CONGRESO DE TUCUMAN"|110111036112517806|110111036112517806|9|56|2|67|238|0|65
ES|ESPAÑA|0090100901|SALA POLIVALENT DEL PARC DEL NORD|110671636172507515|110671636172507515|43|8|0|52|140|1|51
ES|ESPAÑA|0078000780|COLEGIO PÃBLICO REPÃBLICA DEL URUGUAY|110671536162507114|110671536162507114|71|15|0|87|240|1|86
AR|ARGENTINA|0050100501|COLEGIO NACIONAL SALTA NÂº5080|110112237632508807|110112237632508807|11|66|3|87|240|7|77
AR|ARGENTINA|0044000440|ESCUELA âUGARTECHEâ|110111136122514907|110111136122514907|9|68|4|84|253|3|77
AR|ARGENTINA|0020700207|E-ESCUELA DE JORNADA SIMPLE NÂº 08 D.E. 21 "JUDITH Y DEMETRIO DEMARCHI"|110111036112517210|110111036112517210|29|43|1|74|239|1|72
AR|ARGENTINA|0046400464|ESCUELA NORMAL SUPERIOR JUAN IGNACIO GORRITI|110111236132506618|110111236132506618|9|82|5|100|239|4|91
US|ESTADOS UNIDOS|0104401044|DREW MODEL ELEMENTARY SCHOOL|110621336142530007|110621336142530007|78|25|0|105|240|2|103
AR|ARGENTINA|0007200072|B-ESCUELA DE JORNADA SIMPLE NÂº 07 D.E. 18 "REPUBLICA ARABE DE EGIPTO"|110111036112516707|110111036112516707|12|41|0|53|239|0|53
AR|ARGENTINA|0050600506|ESCUELA DE COMERCIO JULIO CORTEZ NÂº 5091|110112237652509002|110112237652509002|14|86|1|104|239|3|100
AR|ARGENTINA|0002100021|A-ESCUELA TÃCNICA NÂº 29 D.E. 06 "RECONQUISTA DE BUENOS AIRES"Â |110111036112516203|110111036112516203|16|17|0|33|237|0|33
AR|ARGENTINA|0013500135|C-ESCUELA TÃCNICA NÂ° 17  DE  13  "BRIGADIER GENERAL CORNELIO SAAVEDRA"|110111036112516501|110111036112516501|14|64|3|83|239|2|78
BR|BRASIL|0054600546|B-ESCUELA ESTADUAL "PROVINCIA DE NAGASAKI"|110341836192520005|110341836192520005|10|36|0|48|240|2|46
BR|BRASIL|0060800608|E-ESCUELA ESTADUAL "ORESTES GUIMARÃES"|110341836192520504|110341836192520504|9|45|0|55|238|1|54
BR|BRASIL|0053400534|B-ESC. MUN. EDU.FUNDAMENTAL "VEREADOR ANTONIO SAMPAIO"|110341836192507904|110341836192507904|15|42|1|58|240|0|57
BR|BRASIL|0063900639|F-ESCOLA ESTADUAL WALTER BELIAN|110341836192508301|110341836192508301|8|19|0|27|238|0|27
AR|ARGENTINA|0037100371|J- LA PLATA-ESCUELA SECUNDARIA NÂº34 "ALMAFUERTE"|110111036112506401|110111036112506401|1|24|0|26|240|1|25
AR|ARGENTINA|0032600326|H-LOMAS-ESCUELA EGB NRO, 12 "PRIMERA JUNTA"|110111036112506204|110111036112506204|5|39|0|53|239|9|44
